vacancies_count,id,vacancies_url,name
447,57770,https://api.hh.ru/vacancies?employer_id=57770&locale=RU,Мария-Ра
154,91926,https://api.hh.ru/vacancies?employer_id=91926&locale=RU,НОВЭКС
100,4147911,https://api.hh.ru/vacancies?employer_id=4147911&locale=RU,Подразделение ООО БММ г. Барнаул
93,1916194,https://api.hh.ru/vacancies?employer_id=1916194&locale=RU,Сеть магазинов Дальнобойщик
87,69789,https://api.hh.ru/vacancies?employer_id=69789&locale=RU,"АНИКС, Торговый Двор"
75,2240630,https://api.hh.ru/vacancies?employer_id=2240630&locale=RU,ГлавПро Федеральный институт повышения квалификации
70,185727,https://api.hh.ru/vacancies?employer_id=185727&locale=RU,Сибэнергомаш-БКЗ
69,872840,https://api.hh.ru/vacancies?employer_id=872840&locale=RU,Компания РОСА
69,1154208,https://api.hh.ru/vacancies?employer_id=1154208&locale=RU,Барнаултрансмаш
67,1118374,https://api.hh.ru/vacancies?employer_id=1118374&locale=RU,Гриль №1
66,1106206,https://api.hh.ru/vacancies?employer_id=1106206&locale=RU,Сетевая компания Алтайкрайэнерго
62,2366606,https://api.hh.ru/vacancies?employer_id=2366606&locale=RU,ГК Союз
62,2928621,https://api.hh.ru/vacancies?employer_id=2928621&locale=RU,КГБУЗ ККБСМП №2
59,1092912,https://api.hh.ru/vacancies?employer_id=1092912&locale=RU,АЛТ АВТО
54,558077,https://api.hh.ru/vacancies?employer_id=558077&locale=RU,"Киприно, Производственный холдинг"
54,618792,https://api.hh.ru/vacancies?employer_id=618792&locale=RU,Барнаульский молочный комбинат
54,10605371,https://api.hh.ru/vacancies?employer_id=10605371&locale=RU,Центр занятости населения по городу Барнаулу
53,812783,https://api.hh.ru/vacancies?employer_id=812783&locale=RU,Алтайский Шинный комбинат
53,5865076,https://api.hh.ru/vacancies?employer_id=5865076&locale=RU,Приоритет
51,620502,https://api.hh.ru/vacancies?employer_id=620502&locale=RU,Крупнейший дистрибьютор продуктов питания в Алтайском крае
46,582476,https://api.hh.ru/vacancies?employer_id=582476&locale=RU,"Альтерра, ТГ"
44,3766627,https://api.hh.ru/vacancies?employer_id=3766627&locale=RU,КГБУЗ Алтайский краевой онкологический диспансер
42,832948,https://api.hh.ru/vacancies?employer_id=832948&locale=RU,Хлебокомбинат Алтайские Закрома
42,9017440,https://api.hh.ru/vacancies?employer_id=9017440&locale=RU,КГБУЗ Краевая стоматологическая поликлиника
41,3353269,https://api.hh.ru/vacancies?employer_id=3353269&locale=RU,Алтайские Карьеры
40,1193692,https://api.hh.ru/vacancies?employer_id=1193692&locale=RU,Алтайхлеб
37,622522,https://api.hh.ru/vacancies?employer_id=622522&locale=RU,"Барнаульский станкостроительный завод, Промышленная группа"
35,1053646,https://api.hh.ru/vacancies?employer_id=1053646&locale=RU,"Makk, ТД Автохит"
35,1158890,https://api.hh.ru/vacancies?employer_id=1158890&locale=RU,Комбинат Русский хлеб
34,3162601,https://api.hh.ru/vacancies?employer_id=3162601&locale=RU,АСКО-МЕД-ПЛЮС
34,3576403,https://api.hh.ru/vacancies?employer_id=3576403&locale=RU,"Алтайлес, Лесная холдинговая компания"
34,4367062,https://api.hh.ru/vacancies?employer_id=4367062&locale=RU,Персона
34,10866101,https://api.hh.ru/vacancies?employer_id=10866101&locale=RU,Рогачевская Наталья Сергеевна
32,703818,https://api.hh.ru/vacancies?employer_id=703818&locale=RU,Барнаульский пивоваренный завод
