id,name,description,is_closed,members_count,contacts
23992048,LAVANDA - цветы в Омске с доставкой,"Доставка цветов в Омске

🌻 Стильные букеты
🚗 Круглосуточная доставка
📷 Фото букета перед отправкой
✉️ Открытка в подарок
📋 Отчёт о доставке на сайте

Пишите в сообщения группы vk.me/lavandaflor

Адреса:
📍 ул. 70 лет Октября, 3 - с 8:00 до 21:00
📍 ул. 70 лет Октября, 15 - круглосуточно
📍 пр. Карла Маркса, 17 - с 8:00 до 21:00
📍 пр. Комарова, 16 - с 8:00 до 20:00
📍 ул. Красный путь, 105 к.1 - с 9:00 до 21:00
📍 ул. Ленина, 14 - с 8:00 до 22:00
📍 пр. Мира, 26 - с 7:30 до 20:00

Теги:

лаванда, цветы, кофе, кофейня, лаванда кофе, десерты, эклеры, доставка цветов, омск, цветы с доставкой, лавандафлор, цмлаванда, цветочная мастерская, цветы в омске, цветы омск, игрушки, шары, купить цветы, магазин цветов, цветочный магазин, цветочный, альстромерии, букет, розы, красные розы, большие розы, пионы, эквадорские розы, доставка роз, букет роз, гипсофила, тюльпаны, мимозы, лилии, ирисы, цветочные композиции, композиции с цветами, цветы в коробке, сборные букеты, доставка букетов, свежие цветы, 101 роза, 51 роза, классические букеты, заказать цветы, розы 40 см, розы 50 см, розы 60 см, метровые розы, цветы на дом, цветы в офис, белые розы, букет невесты, кустовые розы, хризантемы",0,62446,812) 21-80-91
45854603,Омск / zOrg shop,"Вас приветствует Zorg !
Я рад предложить Вам оригинальные Аррle iPhоnе 4S, 5S, 6, 6-6s Plus, 6S, 7, 8, 7-8 Plus, SE , Х, Xs, Xr со всеми доступными объемами памяти! 

- Полный заводской комплект с российской вилкой зарядки
- Все iPhоnе SIM-free, работают со всеми операторами
- Активируются, регистрируются с Аррle ID и функционируют должным образом!
- На все модели распространяется гарантия 1 год. 

Почему именно я ?

1) Выгодно!
Мои цены очень привлекательны, а для постоянных покупателей действуют различные индивидуальные бонусы.

2) Удобно! 
Я работаю в режиме интернет-магазина. Могу проконсультировать вас по телефону или в личных сообщениях.
Товар можно забрать самовывозом (г.Омск), а также можно заказать доставку на дом или любое для вас удобное место в городе. (бесплатно)

3) Надежно!
Гарантия на Айфоны 1 год. Подтверждается документально. Я проверяю качество каждого смартфона лично перед продажей и вы получаете самое лучшее, что есть на рынке.

Всегда в наличии нераспечатанные телефоны всех объёмов памяти и цветов!

АКЦИЯ: найдите, где дешевле, и я предоставлю Вам СКИДКУ!

Оплата только после полной проверки устройства! 

Хочешь купить?
Пиши и звони : https://vk.com/zorg_55",0,41707,+7 (908) 118-33-66
63180778,ZARA+H&M,"🌈Дорогие покупатели!!! Рады приветствовать Вас на страничке интернет-магазина детский товаров 🧸

СТОК, ZARA, HM и др. Розница.

📍📍📍 Заказы принимаются только в сообщения группы!!!

1. Выбираем из альбома наличия! Пришлите фото необходимого товара. Укажите размер, цвет и количество.
2. Производите оплату (мы присылаем информацию по оплате, только в ЛС!!!) 
3. Чек скидываете в сообщении. 
4. Способ отправки:
👉 для ТК - город, ФИО, номер телефона, пункт выдачи
👉 для ПОЧТЫ- ФИО, полный адрес, индекс, номер телефона. 
Доставку ТК оплачиваете самостоятельно при получении. 

✈️Отправка приветствуется.
Двумя способами:
1) Почта России 💌
2)ТК СДЭК ( СДЭК НЕ ДОРОГОЙ ПОТОМУ ЧТО СВОЯ КОМПАНИЯ)👍

Спасибо, что вы с нами!🌺❤️",0,30865,NaN
67066486,Цветы в Омске. Кактус (Kaktus),"Цветочный Магазин Кактус Омск. Все мы любим цветы, ведь они украшают нашу жизнь, позволяют сделать праздник ярче, важное событие в жизни прекраснее.Цветы дарят женщинам и мужчинам, детям и взрослым, коллегам и дорогим людям... Мы поможем Вам сделать правильный выбор для любого приятного повода, будь то свадьба, юбилей, день рождение или маленькая, но очень важная для Вас дата! В наших магазинах и павильонах вы откроете для себя широкий выбор свежесрезанных цветов, а уютная атмосфера и приветливые флористы-продавцы помогут сделать Вам правильный выбор. У нас низкие цены, постоянно действующие акции и скидки. Приходите к нам за покупками или просто полюбоваться, будем очень рады!!!",0,27812,"Durova_marina_94@mail.ru, 8-800-7001-708, +7 (996) 075-19-94"
75781223,"Цветы №1, Интернет-магазин в Омске","У нас вы найдете великолепные букеты, которые удивят вас своей оригинальностью. Также мы собираем композиции в корзинах и коробках, которые простоят ещё дольше. 

При желании мы доставим цветы курьером по Омску, а также Омской области. Возможен самовывоз !

Данная группа носит информационный характер и не является публичной офертой. 

Букеты могут незначительно отличаться от фотографий, о ценах и наличии товара узнавайте по телефону: 49-15-69",0,24638,49-15-69
155865363,Халтура Омск | Шабашка | Услуги | Работа,"ХАЛТУРА Омск - это сообщество, которое позволяет быстро находить надежных исполнителей для выполнения любой работы.   
Чтобы заказать любую услугу теперь не надо листать сотни сайтов, можно просто зайти в ХАЛТУРУ. Тем самым вы, сэкономив кучу своего времени, получите несколько вариантов решения вашей задачи от профессионалов . Все специалисты собрались в одном месте!   
   
Популярные услуги в ХАЛТУРЕ:   
— Ремонт стиральных машин, холодильников и иной бытовой техники   
— Ремонт транспорта   
— Заказы на фото-видео съемку   
— Помощь по хозяйству   
— Ремонтные работы от замены розетки до ремонта ""под ключ""   
— Перевозка грузов и личных вещей, курьерские услуги   
— Вызов мастера на час, электрика, сантехника   
— Handmade   
— Грузчики   
— Дед мороз и снегурочка   
— Диджей и тамада   
— Изготовление металлических конструкций   
— Сварка   
   
Омск Омская область Тара Калачинск Исилькуль Таврическое Называевск Черлак Большеречье Любинский Тюкалинск Муромцево Кормиловка Москаленки Лузино Марьяновка Саргатское Павлоградка Тевриз Крутинка Полтавка Шербакуль Одесское   
   
Дача Яндекс Убер Ситимобил Грузовичков Подарки Мастер и модель Говорящий Татуировка
Грибники Такси Yandex Uber Пятерочка Мега Салон Фотограф Свадебное платье
Охота Таксисты Газелисты Газель Магнит Недвижимость Ипотека Вахта Калым
Грибы Знакомства Вакансии Delivery Club Аварии Toyota ДТП Квартира под ключ Стройка
Турагентство Еда Фриланс Создание Сайтов Суши Доставка Wildberries Шабашка Попутчики
Горящие туры Курьер Макдоналдс Mcdonalds Ресторан Кафе Брови Бесплатный Шины
Банкротство Пицца Фрилансер Клуб Сбермаркет Шашлык Черный список Ozon Работодатели
100 необычных мест Халява Продам Садовод Ревизорро Скидки Наращивание солос Ведущий Конкурсы
Доска позора Раздача листовок Доставщик Красное Белое Цветы Одежда Совместные покупки Комната
Новости Бюро находок Эвакуатор Помощник зарплата Стрижки Свадьба Маникюр Потеряшки
Подсмотрено ЧС Фикс прайс ру HH ru В сети Красивые номера Кроссовки Тату-студия Шугаринг
Индивидуалки знакомства Отдам даром Макияж Деливери Белый список Заработок
Камеры Мамочки Авито Договорные матчи Моя Блатные Сниму Промоутер Студенты
База отдыха Девушки и парни Ставки  Прогнозы Автомойка Установить тебя Найти работу Удаленная работа
Online Пошлый Подслушано Довезу Попутный груз Афиша Ломбард Натяжной потолок Мебель на заказ
Типичный Голос Розыгрыш Xbox Обмен Ноутбук Поставщики Подработка В интернете
AliExpress Демонтаж PlayStation Сотовый телефон iPhone Смартфон Live На дому Подсобник
область Займы айфонов MacBook Honor Xiaomi Шоурум республика Жизнь города
Рыбалка Аварийный Redmi  Huawei Барахолка Автобарахолка Диски ВК Печать на футболках
ЧП Наш город Сто Автозвук Подбор авто Авторазбор Ваз Мобильный Радио Инцидент
край Баня Автоэлектрик Продажа Авто Авторынок Тачка за полтос Рабочие Запчасти Я живу [В] 
Мой Симпатяги Авто в рассрочку Автолюбители под Выкуп Автоподбор Объявления Поиск груза Ищу работу
Love Смешное видео Аренда авто Колеса Резина Автосервис Шоу-рум Муж на час ДоДо
Спортивное питание Тонировка Привет с колес Прокачу на тачке Куплю Помощь на дороге Я умею Грузоперевозка Транспортная компания
Subaru Трезвый Водитель Диагностика Мото Разнорабочие Магазин Ресницы Отделочники Детские игрушки
Деньги  Шиномонтаж Сдам Супермаркет",0,20433,NaN
54818984,Флора Опт ↑ Свежие цветы ↑ Омск,"❣️В команду Флора Опт требуются флористы, помощники флориста и кассиры!
Описание вакансий и анкета для отклика 👉 по ссылке: https://nskfloraopt.ru/vacancies/

Наши магазины в ОМСКЕ: 

📍ул. Дианова, 26/1, тел. 8-958-854-05-23 
(8:00 - 21:00)

📍пр. Мира 10/1, тел. 8-913-616-47-20 (8:00 - 21:00)
 
📍ул. Пушкина 101: (3812) 51‒07‒14 
Круглосуточный

Бесплатная доставка при заказе с сайта от 3000 рублей

ЗАКАЗ: 
🔹на сайте nskfloraopt.ru,
🔹в мобильном приложении Flora Opt
🔹по телефону +7-913-392-03-23
🔹в магазинах сети FloraОПТ

ОПЛАТА: 
- онлайн  на сайте или через выставление онлайн-счета
- наличные курьеру
- в магазине: наличные или картой

❗Мы НЕ принимаем оплаты переводом на карту!
❗❗Отвечаем в комментариях только от лица официальной группы! Остерегайтесь мошенников.",0,8534,"8-958-854-05-23, 8-913-616-47-20, +7-913-392-03-23"
51511110,Сахарная фея ОМСК Зефирная мастерская/обучение,"Любишь сладкие подарки?❤️
В мастерской зефирных букетов вы можете ЗАКАЗАТЬ потрясающие Зефирные букеты и букетбоксы из зефира ручной работы или пройти обучение

Я Ирина Юркова профессиональный кондитер с 30 летним опытом, создаю невероятные зефирные букеты с 2017 года.
Обучаю кондитерскому мастеоству с 2014 г.

Амбассадор ILbakery

🍏 Нежный , ароматный зефир и зефирные цветы  готовлю из яблок и /или ягод , пастеризованного яичного белка, сахара и растительного загустителя агар-агар. 

✅️ Обучаю кремовой и зефирной флористике очно и онлайн.

✅️ Расписание живых курсов в разделе РАСПИСАНИЕ 
г.Омск 8(913) 680 18 12",0,8094,"+7 (913) 680-18-12, irinka_saharinka@mail.ru"
17005106,ФЛОРИСТ Цветы Омск,"Студия современной флористики
Цветы, букеты, доставка.
Курсы и мастер-классы.
Адрес: Лермонтова 20/ Маркса 1, ост Площадь Ленина, магазин Флорист, 
Время работы с 09:00 до 21:00
тел. 8-913-601-42-22, 32-11-70
WhatsApp, Viber, Telegram ->  +7-951-422-62-88",0,7899,"8-913-601-42-22, +7-951-422-62-88, +8 (913) 601-42-22, 32-11-70"
148243271,ОРИГИНАЛЬНЫЕ ПОДАРКИ | ПОДАРКИ ИЗ КИНДЕРОВ |ОМСК,"ОРИГИНАЛЬНЫЕ ПОДАРКИ. ПОДАРКИ ИЗ КИНДЕРОВ. ОМСК 

Предлагает: 
Подарочные наборы от ❤ 600 руб ❤ 
Порадуйте себя 👩‍💼и своих близких 👨‍👩‍👧‍👦!
Сделайте сюрприз себе, подружке👧 сестре👩 маме, мужу🤵брату👱!

Делаем подарки из киндер - шоколада, киндер - яиц и других сладостей!🍬

Оформляем коробочки с цветами!💐

Оформляем  корзиночки с киндер - подарками и другим наполнением по Вашему желанию!

И ещё очень много разных вариантов подарков!🎁

📝в ЛС  https://vk.com/id31455439

Срок изготовления - от 1 до 3 дней
Возможны срочные заказы за 1 - 2 часа.

Оплата : у нас система предоплаты, 50% от заказа оплачивается сразу, оставшиеся при получении; оплата на карту Сбербанк; если заказ с доставкой оплачивается вся сумма

Наш интернет - магазин работает с
9 до 22 часов
Доставка с 9 до 21 часа по тарифу такси

Если вам нужна доставка после 21 часа, до 23 часов мы отправляем на такси

Самовывоз по адресу Куйбышева 27/6

По почте отправляем

Вы можете заказать подарок из другого города или страны🌍, оплатив заказ по карте!💳
Это очень удобно! 👍
Вы радуете своих близких, находясь далеко от них!🤗

Доставка в районы области происходит по тарифу такси.

РЕКЛАМА В ГРУППЕ - ПЛАТНАЯ!
На 4 дня - 200 руб.

#киндерподаркиОмск #киндерсюрприз #kinderшоколад #корзиныизкиндеровОмск #kinderподарки #подаркиизкиндеров #Омск #подаркиОмск #букетыизцветов #букетыизфруктов #подарочныекоробочки",0,7541,"31455439, 8-908-109-0653"
