Дата публикации вакансии,Архивная вакансия,Должностные обязанности,Работодатель,Ссылка на вакансию,Заработная плата от,Заработная плата до,Заработная плата,Город,Название вакансии
2025-02-17,нет,"Присоединяйся к команде малого бизнеса Сбера! На позиции «Старшего кредитного аналитика» ты будешь структурировать кредитные сделки клиентов ММБ, общаться с предпринимателями и руководителями компаний малого бизнеса, а также проводить анализ финансово-хозяйственной деятельности компании.
Обязанности
• выезд на место ведения бизнеса для сбора информации о финансово-хозяйственной деятельности Клиента;
• осуществление проведения комплексной экспертизы сделки (лимита), в том числе полный финансовый анализ заемщика и (при необходимости) основных участников сделки, а также анализ прогноза денежных потоков по клиенту и /или проекту;
• анализ возможности и целесообразности работы с клиентом, исходя из полученной от клиента и служб Банка информации и основных критериев оценки кредитоспособности;
• работа с залоговым обеспечением, оценка юридических рисков;
• мониторинг финансового состояния и расчет резерва по индивидуально классифицируемым ссудам.
Требования
• образование высшее: экономическое/финансовое;
• навыки финансового анализа и бухгалтерского учета;
• опыт работы в кредитовании корпоративных клиентов, андеррайтинга, аудита или консалтинга от 1-го года.
Условия
• работа в крупнейшем банке России;
• трудоустройство согласно ТК РФ;
• регулярное корпоративное обучение;
• ДМС, страхование от несчастных случаев и тяжелых заболеваний;
• материальная помощь и социальная поддержка, корпоративная пенсионная программа;
• льготные условия кредитования;
• яркая и насыщенная корпоративная жизнь.",Сбербанк России,https://novokuznetsk.superjob.ru/vakansii/starshij-kreditnyj-analitik-48692028.html,0,0,не указана,Новокузнецк,Старший кредитный аналитик
2025-02-14,нет,"Обязанности:
• Контроль финансовых показателей растениеводства, входящих в группу компаний организаций;
• Сбор отчетности, анализ данных, прогнозирование финансовых показателей в целях достижения запланированных результатов;
• Взаимодействие со службами по финансовым вопросам;
• Сопровождение Старшего менеджера растениеводства по экономическим вопросам;
• План-фактный анализ бюджета, работа с базами данных;
• Подготовка различных видов отчетов, в том числе на английском языке
Требования:
• знание английского языка уровень не ниже B2
• опыт работы экономистом от 3 лет
Условия:
• Стабильная заработная плата
• Официальное трудоустройство согласно ТК РФ, полный соцпакет;
• Предоставление жилья для проживания;
• График работы 5/2 с 08.00 до 17.00;
• Горячий, всегда свежий комплексный обед;
• Продажа мяса по льготной стоимости;
• Доставка корпоративным транспортом.","Алексеевский Бекон (ГК ""АПК ДОН"")",https://belgorod.superjob.ru/vakansii/ekonomist-analitik-49651506.html,54000,0,54000,Белгород,Экономист-аналитик
2025-02-12,нет,"Вакансия компании ООО ""МЕТАДИНЕА""
Metadynea входит в состав Метафракс Групп. ПАО «Метафракс Кемикалс» - один из производителей метанола в России. Значительная часть производимого метанола и продуктов его переработки используется Metadynea в производстве смол. Наш основной продукт - синтетические смолы. Они применяются в производстве древесных плит, а также в качестве связующего для производства минераловатного утеплителя, используемого в промышленном и жилищном строительстве. Твердые фенолоформальдегидные смолы, так называемые новолаки и пульвербакелиты (порошковые смолы), нашли широкое применение в машиностроении, автомобилестроении, шинной и многих других отраслях промышленности.
Обязанности:
- Аналитическое сопровождение разработки новых процедур;
 - Разработка и запуск новых аналитических методов;
 - Оценка и внедрение существующих аналитических методов;
 - Отработка запросов коммерческого отдела;
 - Проведение литературного поиска по заданной тематике с использованием специализированных сервисов;
 - Подготовка отчетов по проведенной работе;
 - Оказание технической поддержки в рамках своих компетенций;
 - Административная деятельность, в т.ч. организация закупки материальных ценностей/услуг.
Требования:
- Высшее образование (аналитическая химия);
 - Готовность к переезду в д. Давыдово Московской области, с последующим переездом в г. Орехово-Зуево (предположительно, в 4 квартале 2025);
 - Опыт экспериментальной работы в лаборатории аналитической химии;
 - Опыт постановки методов анализа и интерпретация полученных результатов на аналитических приборах (ИК, ВЭЖХ, ГХ, титрирование и т.д.) - возможно обучение;
 - Опыт запуска нового аналитического метода;
 - Навыки практического обслуживания аналитических приборов (ВЭЖХ, ГХ) - возможно обучение.
Условия:
- Официальное трудоустройство в соответствии с Трудовым кодексом РФ, социальные гарантии;
 - График работы: понедельник-четверг с 08:00 до 17:00, пятница с 08:00 до 16:00;
 - ДМС после срока испытания, прочие дополнительные социальные блага;
 - Разъездной характер работы;
 - Место работы – д. Давыдово, Орехово-Зуевский район;
 - Для иногородних кандидатов предусмотрена компенсация аренды жилья.","ООО ""МЕТАДИНЕА""",https://www.superjob.ru/vakansii/inzhener-himik-50404416.html,0,0,не указана,Москва,"Инженер-химик, аналитик"
2025-02-13,нет,"Обязанности:
- осуществление анализа рынка недвижимости;
- подготовка обзора состояния рынка,
- участие в составлении отчетов по итогам государственной кадастровой оценки;
- систематизация и хранение документов, использованных и сформированных при проведении оценки;
- обеспечение неразглашения сведений, составляющих государственную и иную охраняемую законом тайну.

Требования
- высшее образование и профессиональная переподготовка в области оценочной деятельности;
- отсутствие судимости;
- стаж работы по специальности в сфере оценки от 1 года ОБЯЗАТЕЛЬНО;
- продвинутый пользователь компьютера, глубокое знание программы Excel.
Личные качества: ответственность, стремление к самообразованию, внимательность, достижение целей и поставленных задач, коммуникабельность, дисциплинированность, стрессоустойчивость.
Условия:
- оформление в соответствии с Трудовым кодексом РФ;
- пятидневная рабочая неделя: с 8-30 до 17-30 (сб, вск - выходной).",Хабкрайкадастр,https://habarovsk.superjob.ru/vakansii/analitik-v-sfere-kadastrovoj-ocenki-40105458.html,0,62700,62700,Хабаровск,Аналитик в сфере кадастровой оценки
2025-02-13,нет,"Обязанности:

• Комплектация заказов (закупка необходимой продукции) у поставщиков
• Планирование и осуществление закупки конкурентоспособной электротехнической продукции.
• Непрерывное и своевременное обеспечение подразделений конкурентоспособной метизной, проводниковой, металлопрокатной и др. продукцией.
• Контроль исполнения заявок на поставку продукции.
• Ведение документооборота.

Требования:
• Активная жизненная позиция
• Высшее образование
• Опыт работы в сфере закупок от 1 года
• Оперативность, аккуратность, внимательность
• Увереный пользователь ПК (1С и т. д.)

Условия:

• Пятидневная рабочая неделя (с 8-00 до 17-00, ПТ - 8-00 до 16-00 перерыв 12-00 - 12-48),
• На территории работодателя.
• Оформление по ТК",Росэнергосервис,https://rnd.superjob.ru/vakansii/specialist-po-zakupkam-11149133.html,50000,0,50000,Ростов-на-Дону,"Специалист по закупкам, снабжению / Аналитик"
2025-02-17,нет,"Обязанности:
• Подготовка документов по гособоронзаказам (РКМ и т. Д.)
• Проводит текущий экономический анализ финансово-хозяйственной деятельности предприятия и расчет экономических показателей
• Осуществляет контроль за ходом выполнения плановых заданий по предприятию и его подразделениям, использованием внутрихозяйственных резервов.
• Формирует управленческую отчетность (бюджет движения денежных средств, бюджет расходов и доходов)
• Выполняет необходимую работу, связанную с нерегламентными расчетами и контролем за правильностью осуществления расчетных операций.
• Ведет учет экономических показателей результатов производственной деятельности предприятия и его подразделений, а также учет заключенных договоров.
• Подготавливает периодическую отчетность в установленные сроки.
• Выполняет отдельные служебные поручения своего непосредственного руководителя.
Требования:
• Опыт работы в аналогичной должности на производстве
• Знание ПК на уровне эксперта, в т. Ч. 1 С 8.3 УПП
Условия:
• График работы пятидневка с 8 до 17 час (пятница с 8 до 15-45)
• Зачисление с первого дня работы (испытательный срок 3 мес входит в стаж)
• Стабильная выплата заработной платы
• Уровень заработной платы по результатам собеседования",СКБ ЭО при ИМБП РАН,https://himki.superjob.ru/vakansii/ekonomist-analitik-46317303.html,100000,0,100000,Химки,Экономист-аналитик
2025-02-11,нет,"Обязанности:
• Автоматизация бизнес процессов клиентов компании включая: сбор требований к автоматизации бизнес процессов, разработка концепции автоматизации на базе типовых конфигураций 1C, постановка задач программистам на адаптацию типовых конфигураций 1C, настройка программ 1C, тестирование полученного решения автоматизации, внедрение программ 1C в рабочую эксплуатацию.
Кто Вы:
• Энергичный, способный, выпускник ИТ специальности ВУЗа.
• Вам нравится решать учебные или практические задачи автоматизации.
• Желаете развиваться в ИТ индустрии, получить востребованную специализацию.
• Вам хочется получить практический опыт работы по специальности.
Что от Вас нужно:
• Коммуникабельность.
• Аналитический склад ума.
• Способность принимать ответственные решения.
• Обучаемость, умение быстро перерабатывать большие объемы информации.
• Ответственность
• Желание работать в команде и быть лучшим.
Приветствуется:
• Знание основ программирования, умение читать программный код.
• Знание основ бухгалтерского учета.
• Умение планировать своё время.
Чем вам нужно будет заниматься:
• Анализировать бизнес-процессы клиентов, предлагать варианты их автоматизации.
• Консультировать наших клиентов грамотному использованию программ 1C.
• Участвовать в постановке задач адаптации программ 1C условиям работы наших клиентов.
• Тестировать разработанные решения автоматизации перед внедрением у наших клиентов.
• Пополнять багаж знаний, всесторонне развиваться, зарабатывать новые статусы, сертификаты, чем выгодно отличаться от других.
• Участвовать в корпоративных мероприятиях и общественной жизни коллектива.
• Продвигаться по карьерной лестнице.
На какой доход рассчитывать:
• От 19000 по окончании стажировки до 50000 перед следующим шагом по карьерной лестнице.
• Возможно прохождение стажировки во время практики в ВУЗе.
• Выпускники ИТ специальностей могут получить отсрочку от армии на время работы в компании.",ЮНИВЕР СЕРВИС,https://astrakhan.superjob.ru/vakansii/analitik-konsultant-1s-47327168.html,19000,50000,19000,Астрахань,Аналитик-консультант 1С
2025-02-17,нет,"Обязанности:
• Администрирование информационной системы;
• Участие в подготовке технических заданий, инструкций пользователям и другой технической и аналитической документации;
• Консультирование пользователей по вопросам работы в информационной системе;
• Взаимодействие со службой технической поддержки информационной системы;
• Участие в приемочных испытаниях информационных систем;
• Изучение предметной области, бизнес-процессов, нормативно-правовых документов, регламентов, сбор и анализ иной необходимой информации, формирование отчетности в информационной системе.
Требования:
• Опытный пользователь MS Office (MS Word, MS Excel);
• Ответственность и организованность;
• Работоспособность, умение работать в команде;
• Коммуникабельность, нацеленность на результат;
• Умение работать с готовыми техническими заданиями и формировать технические задания на доработку системы;
• Пунктуальность, грамотная речь и письмо;
• Умение работать с большими объемами информации, структурировать информацию.
Будет преимуществом:
• Опыт работы в государственной медицинской организации;
• Опыт работы с медицинской информационной системой (ЕЦП);
• Высшее образование.
Условия:
• Работодатель – государственное учреждение, проекты в области IT-решений для медицины, взаимодействие с Министерством здравоохранения Владимирской области.
• Официальное трудоустройство, соцпакет. Возможно оформление отсрочки от призыва на военную службу;
• Заработная плата 40 000 рублей. Возможно премирование отличившихся работников;
• График работы: 5/2 с 8.30 до 17.00, суббота и воскресенье выходной;
• Место работы: г.Владимир, ул.Никитская, д.3.",ГБУЗ Владимирской области Медицинский информационно-аналитический центр,https://vladimir.superjob.ru/vakansii/analitik-baz-dannyh-48522293.html,40000,0,40000,Владимир,Аналитик баз данных / IT-специалист
2025-02-14,нет,"ООО «Уральский Пружинный Завод» – передовое предприятие, признанное на отечественном и мировом рынке, поставщик широкой номенклатуры современных упругих компонентов. Компания является надежным партнером, ориентированным на цели долговременного сотрудничества. 
Обязанности
1. Составление планов интервью и перечней ресурсов, необходимых для проведения моделирования новых бизнес-процессов.
2. Подготовка планов работ по моделированию, анализу и оптимизации бизнес-процессов и их согласование с непосредственным руководителем и руководством организации.
3. Проведение процедур обследования бизнес-процессов для внедряемых проектов.
4. Формирование общих аналитических отчетов после проведения анализа бизнес-процессов в виде аналитических таблиц и текстовых комментариев.
5. Разработка и поддержка в актуальном состоянии структуры критериев оценки эффективности моделируемых бизнес-процессов и функций.
6. Подготовка рекомендаций по внедрению оптимизированных бизнес-процессов и изменению организационной структуры.
7. Описание и поддержка в актуальном состоянии документации по оптимизированным бизнес-процессам.
8. Участие в написании технического задания на внесение изменений в корпоративную информационную систему в соответствии с оптимизированными бизнес-процессами.
9. Своевременное предоставление достоверной информации, касающейся анализа протекающих в организации бизнес-процессов, их оптимизации.

10. Документирование недостатков методик, существующих в организации, предложение способов их устранения и представление отчетов непосредственному руководителю.
Для Вас:
· Достижение поставленных целей вознаграждается достойной зарплатой. 
· Безопасные условия труда. Мы заботимся о создании комфортной среды для сотрудников. 
· Работа в команде. Мы уверены в том, что взаимопонимание и взаимодоверие, взаимопомощь, корпоративная солидарность помогут найти совместное решение проблем внутри организации.
· Возможность развиваться, учиться и научаться новому — залог долгосрочного успеха Уральского пружинного завода. Мы уделяем большое внимание повышению профессионального уровня коллектива.
Мы развиваемся в поставке надежных решений для управления упругой энергией.
 Желание повысить эффективность продаж подтолкнуло нас к открытию вакансии.",Уральский Пружинный Завод,https://ekaterinburg.superjob.ru/vakansii/analitik-1s-44403797.html,150000,0,150000,Екатеринбург,Аналитик 1С
2025-02-12,нет,"ВТБ Юниор — это оплачиваемая стажировка для начинающих специалистов в подразделениях розничного, среднего и малого бизнеса региональной сети Банка ВТБ по всей России. С первых дней вы будете погружены в работу над серьезными проектами и научитесь находить решения сложных бизнес-задач. Через год успешной стажировки в среднем и малом бизнесе — возможность стать кредитным аналитиком.
Обязанности:
— освоение функционала кредитного аналитика в направлении средний и малый бизнес;
— погружение в вопросы анализа финансово-хозяйственной деятельности заемщиков;
— сбор и структурирование больших объемов информации;
— активное участие в выполнении целевых ориентиров в офисе банка для реализации бизнес-задач.
Требования:
— выпускников бакалавриата/специалитета, выпускников магистратуры или выпускником ссузов
— специализация: экономика, финансы, менеджмент.
— развитые аналитические способности, знание математики и основ экономики;
— интерес и готовность развиваться в корпоративном бизнесе, в аналитической работе;
— продвинутое владение Excel;
— возможность работать полный рабочий день.
Что мы предлагаем:
— финансовая стабильность: высокий фиксированный оклад + возможность повышения зарплаты уже во время стажировки;
— карьерные перспективы: лучшие стажеры смогут продолжить карьеру в ВТБ. Каждый год около 50% стажеров переходят в штат.
— ДМС со стоматологией, скидки от партнеров и т. д.;
— обучение и развитие Soft и hard skills: доступ к обучающим курсам, электронным библиотекам, лекторий с приглашенными спикерами;
— трудоустройство согласно Законодательству РФ.",СЛ Капитал,https://nsk.superjob.ru/vakansii/stazher-kreditnyj-analitik-49310968.html,42000,0,42000,Новосибирск,Стажер-кредитный аналитик
2025-02-10,нет,"Обязанности:
• Осуществлять сбор, свод и аналитику статистических показателей в соответствии с утвержденными методиками;
• Консультировать в области статистической деятельности;
• Подготавливать аналитические отчеты, презентации, обзоры, доклады, рекомендации проекты нормативных документов на основе статистических отчетов","ГКУ ЯНАО ""ИАЦ""",https://salehard.superjob.ru/vakansii/analitik-49432635.html,62000,0,62000,Салехард,Аналитик
2025-02-14,нет,"Обязанности:
• Проведение лабораторных испытаний пищевой продукции в аккредитованном испытательном центре Кубанского государственного технологического университета (ИЦ КубГТУ)
• Ведение лабораторных журналов.
Требования:
• Практическое знание и владение методами инструментального анализа, ""мокрая химия"".
• Опыт работы с использованием современного аналитического и испытательного оборудования.
• Аналитический склад ума.
• Стремление к самосовершенствованию.
• Коммуникабельность.
• Творческий подход к решению поставленных задач
Условия:
• Государственное учреждение.
• Полный соцпакет.
• 5-дневная рабочая неделя
• Возможность повышения квалификации за счет организации
• Интервал рабочего времени обсуждается
• Возможность участия в научных исследованиях
• Современное научное оборудование
• Уровень заработной платы обсуждается в зависимости от квалификации",ФБГОУ ВО КубГТУ,https://krasnodar.superjob.ru/vakansii/himik-analitik-50081966.html,35000,0,35000,Краснодар,Химик-аналитик
